 American sub,20220620T000000Z,6,300689
 American sub,20220621T000000Z,9,330727
 American sub,20220622T000000Z,10,342014
 American sub,20220623T000000Z,4,339349
 American sub,20220624T000000Z,3,319979
 American sub,20220625T000000Z,2,203761
 American sub,20220626T000000Z,10,183333
 American sub,20220627T000000Z,4,308531
 American sub,20220628T000000Z,13,335644
 American sub,20220629T000000Z,9,339438
 American sub,20220630T000000Z,9,345960
 American sub,20220701T000000Z,7,317063
 American sub,20220702T000000Z,3,191421
 American sub,20220703T000000Z,2,175508
 American sub,20220704T000000Z,1,271611
 American sub,20220705T000000Z,6,313541
 American sub,20220706T000000Z,4,326946
 American sub,20220707T000000Z,4,331079
 American sub,20220708T000000Z,1,315489
 American sub,20220709T000000Z,5,194187
 American sub,20220710T000000Z,5,170102
 American sub,20220711T000000Z,4,290863
 American sub,20220712T000000Z,2,322289
 American sub,20220713T000000Z,6,327682
 American sub,20220714T000000Z,12,329508
 American sub,20220715T000000Z,2,313185
 American sub,20220716T000000Z,0,195079
 American sub,20220717T000000Z,6,174851
 American sub,20220718T000000Z,3,297027
 American sub,20220719T000000Z,3,324463
 American sub,20220720T000000Z,9,326073
 American sub,20220721T000000Z,11,326963
 American sub,20220722T000000Z,8,304026
 American sub,20220723T000000Z,7,188203
 American sub,20220724T000000Z,4,166797
 American sub,20220725T000000Z,6,291395
 American sub,20220726T000000Z,11,320916
 American sub,20220727T000000Z,11,325681
 American sub,20220728T000000Z,16,324137
 American sub,20220729T000000Z,2,303231
 American sub,20220730T000000Z,4,186855
 American sub,20220731T000000Z,6,168632
 American sub,20220801T000000Z,7,287100
 American sub,20220802T000000Z,7,311578
 American sub,20220803T000000Z,21,318092
 American sub,20220804T000000Z,17,320332
 American sub,20220805T000000Z,9,303936
 American sub,20220806T000000Z,5,192105
 American sub,20220807T000000Z,2,168473
 American sub,20220808T000000Z,7,282167
 American sub,20220809T000000Z,19,312403
 American sub,20220810T000000Z,10,316066
 American sub,20220811T000000Z,7,310892
 American sub,20220812T000000Z,9,295605
 American sub,20220813T000000Z,4,186485
 American sub,20220814T000000Z,1,160372
 American sub,20220815T000000Z,19,253689
 American sub,20220816T000000Z,8,304582
 American sub,20220817T000000Z,15,301311
 American sub,20220818T000000Z,7,310842
 American sub,20220819T000000Z,10,287179
 American sub,20220820T000000Z,8,184959
 American sub,20220821T000000Z,0,157433
 American sub,20220822T000000Z,9,278875
 American sub,20220823T000000Z,11,310239
 American sub,20220824T000000Z,12,312470
 American sub,20220825T000000Z,4,316120
 American sub,20220826T000000Z,5,298166
 American sub,20220827T000000Z,2,183513
 American sub,20220828T000000Z,2,165444
 American sub,20220829T000000Z,9,283308
 American sub,20220830T000000Z,8,309740
 American sub,20220831T000000Z,16,317340
 American sub,20220901T000000Z,12,320567
 American sub,20220902T000000Z,10,293251
 American sub,20220903T000000Z,0,181172
 American sub,20220904T000000Z,4,168850
 American sub,20220905T000000Z,6,265087
 American sub,20220906T000000Z,31,307461
 American sub,20220907T000000Z,4,322285
 American sub,20220908T000000Z,6,330214
 American sub,20220909T000000Z,20,302233
 American sub,20220910T000000Z,27,193173
 American sub,20220911T000000Z,2,168675
 American sub,20220912T000000Z,2,90981
 Bacon,20220620T000000Z,17,300689
 Bacon,20220621T000000Z,40,330727
 Bacon,20220622T000000Z,14,342014
 Bacon,20220623T000000Z,24,339349
 Bacon,20220624T000000Z,18,319979
 Bacon,20220625T000000Z,12,203761
 Bacon,20220626T000000Z,10,183333
 Bacon,20220627T000000Z,23,308531
 Bacon,20220628T000000Z,12,335644
 Bacon,20220629T000000Z,17,339438
 Bacon,20220630T000000Z,23,345960
 Bacon,20220701T000000Z,16,317063
 Bacon,20220702T000000Z,11,191421
 Bacon,20220703T000000Z,6,175508
 Bacon,20220704T000000Z,13,271611
 Bacon,20220705T000000Z,18,313541
 Bacon,20220706T000000Z,44,326946
 Bacon,20220707T000000Z,20,331079
 Bacon,20220708T000000Z,32,315489
 Bacon,20220709T000000Z,14,194187
 Bacon,20220710T000000Z,7,170102
 Bacon,20220711T000000Z,14,290863
 Bacon,20220712T000000Z,31,322289
 Bacon,20220713T000000Z,25,327682
 Bacon,20220714T000000Z,18,329508
 Bacon,20220715T000000Z,21,313185
 Bacon,20220716T000000Z,12,195079
 Bacon,20220717T000000Z,6,174851
 Bacon,20220718T000000Z,30,297027
 Bacon,20220719T000000Z,44,324463
 Bacon,20220720T000000Z,13,326073
 Bacon,20220721T000000Z,55,326963
 Bacon,20220722T000000Z,18,304026
 Bacon,20220723T000000Z,9,188203
 Bacon,20220724T000000Z,5,166797
 Bacon,20220725T000000Z,23,291395
 Bacon,20220726T000000Z,43,320916
 Bacon,20220727T000000Z,17,325681
 Bacon,20220728T000000Z,200,324137
 Bacon,20220729T000000Z,17,303231
 Bacon,20220730T000000Z,8,186855
 Bacon,20220731T000000Z,12,168632
 Bacon,20220801T000000Z,20,287100
 Bacon,20220802T000000Z,12,311578
 Bacon,20220803T000000Z,13,318092
 Bacon,20220804T000000Z,40,320332
 Bacon,20220805T000000Z,39,303936
 Bacon,20220806T000000Z,12,192105
 Bacon,20220807T000000Z,8,168473
 Bacon,20220808T000000Z,12,282167
